epochs,epsilon,accuracy,time
5,0,0.6346353779890094,22.269056797027588
5,0,0.6299569285608199,19.443724155426025
5,0,0.6309223228872717,20.53874945640564
10,0,0.6310708450913411,39.820420026779175
10,0,0.6298826674587851,39.86968970298767
10,0,0.6351552057032527,39.510687589645386
20,0,0.6309223228872717,80.4016683101654
20,0,0.6317391950096539,79.58700489997864
20,0,0.6300311896628547,79.93688464164734
5,1,0.2950393583840784,52.93497157096863
5,1,0.29095499777216693,55.44621562957764
5,1,0.29095499777216693,51.14273262023926
5,10,0.376726570622308,63.0308575630188
5,10,0.3877914748254864,61.15887212753296
5,10,0.38058814792811524,61.229018211364746
5,20,0.41185207188474676,73.769371509552
5,20,0.41474825486410216,73.47888350486755
5,20,0.40524283380365367,72.43376159667969
10,1,0.39291549086588445,101.79033422470093
10,1,0.4031635229466805,99.58528280258179
10,1,0.39796524580424775,98.4081563949585
10,10,0.47155799792068914,117.0780622959137
10,10,0.4781672360017823,111.54745149612427
10,10,0.4753453141244616,110.9897928237915
10,20,0.4930194564087331,124.34893822669983
10,20,0.49138571216396854,119.20286893844604
10,20,0.4928709342046636,119.7785792350769
20,1,0.44809148967770684,196.9910876750946
20,1,0.45893361057478094,195.85267543792725
20,1,0.45210158918758353,194.80901646614075
20,10,0.5210901529778702,217.57243967056274
20,10,0.5224268528144957,218.11227297782898
20,10,0.5218327639982178,217.9434370994568
20,20,0.5379474231397594,203.95074152946472
20,20,0.5372048121194118,203.3058660030365
20,20,0.5326748848952918,203.16895413398743
