learning_rate,batch_size,epochs,epsilon,accuracy
0.001,32,10,1,0.3906133967028071
0.001,32,20,1,0.42098618743502153
0.001,64,10,1,0.40004455666122085
0.001,64,20,1,0.45061636714688846
0.001,128,10,1,0.36499331650081684
0.001,128,20,1,0.44853705628991536
0.01,32,10,1,0.1034457151344126
0.01,32,20,1,0.101811970889648
0.01,64,10,1,0.17533046190405466
0.01,64,20,1,0.16872122382296154
0.01,128,10,1,0.25686915193821475
0.01,128,20,1,0.23748700430714392
0.1,32,10,1,0.03735333432348136
0.1,32,20,1,0.04841823852665974
0.1,64,10,1,0.030521312936283976
0.1,64,20,1,0.043665527996435465
0.1,128,10,1,0.03416010693598693
0.1,128,20,1,0.04255161146591416
0.001,32,10,10,0.46227536016634485
0.001,32,20,10,0.48663300163374423
0.001,64,10,10,0.4758651418387049
0.001,64,20,10,0.5224268528144957
0.001,128,10,10,0.47155799792068914
0.001,128,20,10,0.5336402792217436
0.01,32,10,10,0.15000742611020348
0.01,32,20,10,0.15357195900787168
0.01,64,10,10,0.24892321402049605
0.01,64,20,10,0.2485519085103223
0.01,128,10,10,0.35756720629734146
0.01,128,20,10,0.35467102331798606
0.1,32,10,10,0.03898707856824595
0.1,32,20,10,0.041883261547601365
0.1,64,10,10,0.03542254567057775
0.1,64,20,10,0.041734739343531856
0.1,128,10,10,0.033343234813604634
0.1,128,20,10,0.04336848358829645
0.001,32,10,20,0.473414525471558
0.001,32,20,20,0.49977721669389574
0.001,64,10,20,0.49554433387791474
0.001,64,20,20,0.5328976682013961
0.001,128,10,20,0.4916827565721075
0.001,128,20,20,0.5512401604039804
0.01,32,10,20,0.16560225753750185
0.01,32,20,20,0.16998366255755235
0.01,64,10,20,0.2819694044259617
0.01,64,20,20,0.27409772761027773
0.01,128,10,20,0.384598247437992
0.01,128,20,20,0.3724194267042923
0.1,32,10,20,0.03312045150750037
0.1,32,20,20,0.03943264518045448
0.1,64,10,20,0.04225456705777514
0.1,64,20,20,0.0424773503638794
0.1,128,10,20,0.04396257240457448
0.1,128,20,20,0.043665527996435465
